matrix,implementation,rows,cols,nnz,threads,blocks,time_min_ms,time_max_ms,time_avg_ms,time_geomean_ms,time_stddev_ms,gflopss_min,gflopss_max,gflopss_avg,gflopss_avg_geo,gflopss_std,bandwidth_min_gbs,bandwidth_max_gbs,bandwidth_avg_gbs,bandwidth_avg_gbs_geo,bandwidth_std,rmse_min,rmse_max,rmse_avg,rmse_geomean,rmse_stddev,raw_time_ms,raw_gflopss_ms,raw_bandwidth_gbs,raw_rmse
./Dataset/eu-2005/eu-2005.mtx,CSR NVDA,862664,862664,19235140,256,3370,19.119104,19.201023,19.148596,19.148571,0.032269,2.003554,2.012138,2.009044,2.009042,0.003381,12.380746,12.433793,12.414677,12.414660,0.020894,0.000000,0.000000,0.000000,1.000000,0.000000,"19.138559;19.185663;19.135489;19.201023;19.134464;19.195904;19.119104;19.121153;19.129345;19.125248","2.010093;2.005158;2.010415;2.003554;2.010523;2.004088;2.012138;2.011923;2.011061;2.011492","12.421154;12.390658;12.423147;12.380746;12.423812;12.384048;12.433793;12.432461;12.427137;12.429799","0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000"
./Dataset/eu-2005/eu-2005.mtx,CSR Vector NVDA,862664,862664,19235140,256,107833,12.683264,12.701696,12.694716,12.694715,0.007438,3.028751,3.033153,3.030417,3.030417,0.001776,18.715845,18.743046,18.726141,18.726139,0.010976,0.000000,0.000000,0.000000,1.000000,0.000000,"12.700672;12.683264;12.701696;12.695552;12.684128;12.699648;12.697600;12.699648;12.685312;12.699648","3.028996;3.033153;3.028751;3.030217;3.032947;3.029240;3.029728;3.029240;3.032663;3.029240","18.717356;18.743046;18.715845;18.724903;18.741768;18.718864;18.721884;18.718864;18.740019;18.718864","0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000"
./Dataset/eu-2005/eu-2005.mtx,CSR cuSparse NVDA,862664,862664,19235140,0,0,5.659648,5.669888,5.665383,5.665381,0.003683,6.785016,6.797292,6.790414,6.790413,0.004414,41.927280,42.003139,41.960640,41.960632,0.027278,0.000000,0.000000,0.000000,1.000000,0.000000,"5.666816;5.664768;5.669888;5.663744;5.666816;5.660672;5.662720;5.659648;5.669888;5.668864","6.788694;6.791148;6.785016;6.792376;6.788694;6.796062;6.793604;6.797292;6.785016;6.786242","41.950008;41.965176;41.927280;41.972763;41.950008;41.995541;41.980350;42.003139;41.927280;41.934856","0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000"
./Dataset/FullChip/FullChip.mtx,COO CPU,2987012,2987012,26621990,0,0,147.169006,153.813995,149.092087,149.081223,1.909407,0.346158,0.361788,0.357173,0.357147,0.004492,2.769266,2.894304,2.857386,2.857180,0.035938,0.000000,0.000000,0.000000,0.000000,0.000000,"149.501999;149.949005;147.565994;149.516998;148.957001;147.169006;148.791000;148.052994;147.602997;153.813995","0.356142;0.355081;0.360815;0.356107;0.357445;0.361788;0.357844;0.359628;0.360724;0.346158","2.849138;2.840645;2.886518;2.848852;2.859562;2.894304;2.862753;2.877023;2.885794;2.769266",""
./Dataset/FullChip/FullChip.mtx,COO NVDA,2987012,2987012,26621990,256,103993,26.492928,26.544128,26.523441,26.523438,0.019083,2.005867,2.009743,2.007432,2.007432,0.001445,16.046932,16.077946,16.059454,16.059452,0.011558,0.000002,0.000007,0.000004,0.000004,0.000001,"26.541056;26.503168;26.540031;26.529793;26.529793;26.501120;26.544128;26.492928;26.539007;26.513409","2.006099;2.008967;2.006176;2.006951;2.006951;2.009122;2.005867;2.009743;2.006254;2.008191","16.048790;16.071733;16.049410;16.055605;16.055605;16.072975;16.046932;16.077946;16.050030;16.065525","0.000004;0.000005;0.000002;0.000005;0.000005;0.000004;0.000003;0.000005;0.000005;0.000007"
./Dataset/FullChip/FullChip.mtx,COO cuSparse,2987012,2987012,26621990,0,0,11.636736,11.646976,11.643597,11.643597,0.003055,4.571485,4.575508,4.572812,4.572812,0.001200,36.571880,36.604065,36.582497,36.582497,0.009601,0.001091,0.001092,0.001092,0.001092,0.000000,"11.645952;11.644928;11.643904;11.641856;11.636736;11.644928;11.646976;11.645952;11.643904;11.640832","4.571887;4.572289;4.572691;4.573496;4.575508;4.572289;4.571485;4.571887;4.572691;4.573898","36.575096;36.578316;36.581532;36.587967;36.604065;36.578316;36.571880;36.575096;36.581532;36.591183","0.001091;0.001092;0.001091;0.001092;0.001092;0.001092;0.001092;0.001092;0.001092;0.001092"
./Dataset/FullChip/FullChip.mtx,CSR CPU,2987012,2987012,26621990,0,0,117.125999,138.755997,122.350807,122.212738,6.307620,0.383724,0.454587,0.436131,0.435666,0.020642,2.474560,2.931544,2.812525,2.809527,0.133114,0.000000,0.000000,0.000000,0.000000,0.000000,"122.733002;125.456001;117.125999;118.809998;120.888000;138.755997;122.259003;117.251999;119.349998;120.877998","0.433820;0.424404;0.454587;0.448144;0.440441;0.383724;0.435501;0.454099;0.446116;0.440477","2.797617;2.736896;2.931544;2.889992;2.840315;2.474560;2.808464;2.928393;2.876916;2.840550",""
./Dataset/FullChip/FullChip.mtx,CSR NVDA,2987012,2987012,26621990,256,11669,178.225159,180.228088,179.206329,179.204407,0.874727,0.295426,0.298746,0.297116,0.297113,0.001449,1.905141,1.926552,1.916045,1.916024,0.009343,0.000000,0.000000,0.000000,0.000000,0.000000,"178.225159;180.228088;178.254883;178.756607;180.158463;180.169724;178.850815;178.836487;178.380539;180.202499","0.298746;0.295426;0.298696;0.297857;0.295540;0.295521;0.297701;0.297724;0.298485;0.295467","1.926552;1.905141;1.926230;1.920824;1.905877;1.905758;1.919812;1.919966;1.924873;1.905412","0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000"
./Dataset/FullChip/FullChip.mtx,CSR Vector NVDA,2987012,2987012,26621990,256,373377,36.738049,36.770592,36.753078,36.753078,0.009718,1.448004,1.449287,1.448695,1.448694,0.000383,9.337896,9.346168,9.342347,9.342346,0.002470,0.000996,0.000996,0.000996,0.000996,0.000000,"36.763649;36.750336;36.746239;36.762623;36.749313;36.748287;36.770592;36.738049;36.748287;36.753407","1.448278;1.448802;1.448964;1.448318;1.448843;1.448883;1.448004;1.449287;1.448883;1.448681","9.339660;9.343043;9.344085;9.339920;9.343303;9.343564;9.337896;9.346168;9.343564;9.342262","0.000996;0.000996;0.000996;0.000996;0.000996;0.000996;0.000996;0.000996;0.000996;0.000996"
./Dataset/FullChip/FullChip.mtx,CSR cuSparse NVDA,2987012,2987012,26621990,0,0,9.610240,9.639936,9.621805,9.621800,0.010131,5.523271,5.540338,5.533685,5.533682,0.005822,35.618488,35.728554,35.685646,35.685627,0.037545,0.001093,0.001093,0.001093,0.001093,0.000000,"9.617408;9.636864;9.614336;9.639936;9.624576;9.617408;9.615296;9.610240;9.614336;9.627648","5.536209;5.525032;5.537978;5.523271;5.532086;5.536209;5.537425;5.540338;5.537978;5.530321","35.701923;35.629845;35.713333;35.618488;35.675335;35.701923;35.709763;35.728554;35.713333;35.663948","0.001093;0.001093;0.001093;0.001093;0.001093;0.001093;0.001093;0.001093;0.001093;0.001093"
